Station.City,City Encoding,Service
Birmingham,0,"0.0, 46.0, 32.0"
Huntsville,1,"0.0, 47.0, 31.0"
Mobile,2,"0.16, 51.0, 41.0"
Montgomery,3,"0.0, 52.0, 38.0"
Anchorage,4,"0.01, 38.0, 29.0"
Annette,5,"0.09, 44.0, 31.0"
Bethel,6,"0.05, 36.0, 24.0"
Bettles,7,"0.15, 32.0, 9.0"
Cold Bay,8,"0.6, 36.0, 31.0"
Cordova,9,"2.15, 43.0, 33.0"
Delta Junction/Ft Greely,10,"0.0, 39.0, 23.0"
Fairbanks,11,"0.0, 30.0, 4.0"
Gulkana,12,"0.02, 34.0, 19.0"
Homer,13,"1.22, 42.0, 35.0"
Iliamna,14,"0.0, 42.0, 37.0"
Juneau,15,"0.7, 40.0, 31.0"
Kenai,16,"0.14, 37.0, 30.0"
Ketchikan,17,"0.17, 41.0, 33.0"
King Salmon,18,"0.05, 42.0, 35.0"
Kodiak,19,"1.3, 42.0, 36.0"
Kotzebue,20,"0.1, 33.0, 20.0"
Mc Grath,21,"0.01, 39.0, 20.0"
Nome,22,"0.08, 32.0, 25.0"
Northway,23,"0.0, 8.0, -9.0"
Palmer,24,"0.4, 42.0, 32.0"
Petersburg,25,"0.0, 60.0, 60.0"
Puntilla Lake,26,"0.0, 60.0, 60.0"
Shemya,27,"0.0, 60.0, 60.0"
Sitka,28,"0.37, 46.0, 39.0"
Skagway,29,"0.55, 42.0, 33.0"
St Paul Island,30,"0.15, 35.0, 29.0"
Talkeetna,31,"0.04, 39.0, 23.0"
Tanana,32,"0.0, 29.0, 13.0"
Utqiagvik (Barrow),33,"0.05, 9.0, 2.0"
Yakutat,34,"2.42, 40.0, 32.0"
Douglas Bisbee,35,"0.0, 57.0, 24.0"
Kingman,36,"0.0, 54.0, 25.0"
Phoenix,37,"0.0, 69.0, 45.0"
Tucson,38,"0.0, 69.0, 43.0"
Winslow,39,"0.0, 42.0, 15.0"
Fort Smith,40,"0.0, 51.0, 27.0"
Harrison,41,"0.0, 48.0, 27.0"
North Little Rock,42,"0.0, 49.0, 34.0"
Bakersfield,43,"0.0, 60.0, 33.0"
Bishop,44,"0.0, 42.0, 12.0"
China Lake,45,"0.0, 49.0, 21.0"
Concord,46,"0.0, 51.0, 37.0"
Eureka,47,"0.06, 53.0, 33.0"
Fresno,48,"0.0, 55.0, 36.0"
Hayward,49,"0.0, 53.0, 41.0"
Long Beach,50,"0.0, 65.0, 43.0"
Los Angeles,51,"0.0, 63.0, 45.0"
Red Bluff,52,"0.0, 50.0, 36.0"
Redding,53,"0.0, 51.0, 38.0"
Sacramento,54,"0.0, 52.0, 34.0"
Salinas,55,"0.0, 57.0, 41.0"
San Diego,56,"0.0, 64.0, 45.0"
San Francisco,57,"0.04, 51.0, 41.0"
Sandberg,58,"0.0, 44.0, 33.0"
Santa Barbara,59,"0.0, 62.0, 39.0"
