City,City Encoding,Service
Alabama,0,1627670
Alaska,1,305060
American Samoa,2,8320
Arizona,3,2404386
Arkansas,4,999358
California,5,12036125
Colorado,6,1751885
Commonwealth of the Northern Mariana Islands,7,0
Connecticut,8,970738
Delaware,9,327873
District of Columbia,10,176845
Florida,11,7483857
Georgia,12,3042823
Guam,13,60903
Hawaii,14,378481
Idaho,15,516578
Illinois,16,4040139
Indiana,17,2033879
Iowa,18,897136
Kansas,19,930463
Kentucky,20,1698146
Louisiana,21,1555480
Maine,22,313642
Maryland,23,1352861
Massachusetts,24,2206312
Michigan,25,3036304
Minnesota,26,1761893
Mississippi,27,981020
Missouri,28,1761270
Montana,29,327175
Nebraska,30,561712
Nevada,31,885416
New Hampshire,32,374983
New Jersey,33,3021244
New Mexico,34,666445
New York,35,6743571
North Carolina,36,3438259
North Dakota,37,284843
Ohio,38,3364860
Oklahoma,39,1278295
Oregon,40,954077
Pennsylvania,41,3490499
Puerto Rico,42,1090516
Rhode Island,43,457162
South Carolina,44,1818546
South Dakota,45,275672
Tennessee,46,2495950
Texas,47,8399403
United States Virgin Islands,48,0
Utah,49,1083959
Vermont,50,150985
Virginia,51,2269006
Washington,52,1915286
West Virginia,53,637100
Wisconsin,54,1989977
Wyoming,55,184251
